Player,Team,PER,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Stephen Curry,GSW,31.5,79,79,2700,805,1598,.504,402,886,.454,403,712,.566,.630,363,400,.908,68,362,430,527,169,15,262,161,2375,.669,.554,.250,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,,13.8,4.1,17.9,.318,,12.4,0.1,12.4,9.8
Kevin Durant,OKC,28.2,72,72,2578,698,1381,.505,186,480,.388,512,901,.568,.573,447,498,.898,45,544,589,361,69,85,250,137,2029,.634,.348,.361,2.0,21.8,12.4,24.2,1.3,2.5,13.5,30.6,,11.0,3.5,14.5,.270,,7.0,0.9,7.9,6.4
Russell Westbrook,OKC,27.6,80,80,2749,656,1444,.454,101,341,.296,555,1103,.503,.489,465,573,.812,145,481,626,834,163,20,342,200,1878,.554,.236,.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,,10.0,4.0,14.0,.245,,7.6,2.4,10.0,8.3
LeBron James,CLE,27.5,76,76,2709,737,1416,.520,87,282,.309,650,1134,.573,.551,359,491,.731,111,454,565,514,104,49,249,143,1920,.588,.199,.347,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,,9.6,4.0,13.6,.242,,6.9,2.3,9.1,7.6
Chris Paul,LAC,26.2,74,74,2420,515,1114,.462,122,329,.371,393,785,.501,.517,294,328,.896,39,271,310,738,152,13,194,185,1446,.575,.295,.294,1.8,12.0,7.0,52.7,3.1,0.4,13.4,27.1,,9.2,3.5,12.7,.253,,7.3,0.5,7.8,6.0
Kawhi Leonard,SAS,26.0,72,72,2380,551,1090,.506,129,291,.443,422,799,.528,.565,292,334,.874,95,398,493,186,128,71,105,133,1523,.616,.267,.306,4.7,18.4,11.8,13.0,2.8,2.3,7.8,25.8,,8.3,5.5,13.7,.277,,5.5,2.8,8.3,6.2
Hassan Whiteside,MIA,25.7,73,43,2125,413,682,.606,0,0,,413,682,.606,.606,214,329,.650,238,627,865,30,44,269,137,201,1040,.629,.000,.482,13.1,32.4,23.1,2.4,1.1,9.7,14.2,20.7,,5.0,5.3,10.3,.233,,-0.9,3.4,2.5,2.4
James Harden,HOU,25.3,82,82,3125,710,1617,.439,236,657,.359,474,960,.494,.512,720,837,.860,63,438,501,612,139,51,374,229,2376,.598,.406,.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,,10.7,2.6,13.3,.204,,7.1,-0.4,6.7,6.9
Anthony Davis,NOP,25.0,61,61,2164,560,1136,.493,35,108,.324,525,1028,.511,.508,326,430,.758,130,497,627,116,78,125,121,148,1481,.559,.095,.379,6.4,26.4,16.1,10.0,1.8,4.7,8.4,29.6,,4.4,2.8,7.2,.160,,1.0,1.2,2.2,2.3
Enes Kanter,OKC,24.0,82,1,1721,414,719,.576,10,21,.476,404,698,.579,.583,200,251,.797,249,415,664,33,26,33,115,166,1038,.626,.029,.349,16.7,24.9,21.0,3.1,0.7,1.5,12.2,23.4,,6.0,2.1,8.1,.226,,1.3,-3.1,-1.7,0.1
DeMarcus Cousins,SAC,23.6,65,65,2246,601,1332,.451,70,210,.333,531,1122,.473,.477,476,663,.718,158,589,747,214,101,92,249,236,1748,.538,.158,.498,7.7,28.2,18.0,17.0,2.2,3.3,13.3,35.4,,2.4,3.3,5.7,.122,,1.0,1.6,2.6,2.6
Jonas Valanciunas,TOR,22.6,60,59,1557,303,536,.565,0,0,,303,536,.565,.565,162,213,.761,184,363,547,42,25,80,85,158,768,.610,.000,.397,13.8,26.3,20.1,4.8,0.8,4.2,11.9,20.9,,4.5,2.4,6.9,.211,,0.7,0.4,1.1,1.2
Karl-Anthony Towns,MIN,22.5,82,82,2626,625,1152,.543,30,88,.341,595,1064,.559,.556,223,275,.811,226,629,855,161,58,138,183,245,1503,.590,.076,.239,10.1,27.5,18.9,11.3,1.1,4.3,12.6,24.8,,5.4,2.8,8.3,.151,,1.6,1.2,2.7,3.1
LaMarcus Aldridge,SAS,22.4,74,74,2261,536,1045,.513,0,16,.000,536,1029,.521,.513,259,302,.858,176,456,632,110,38,81,99,151,1331,.565,.015,.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,,5.6,4.5,10.1,.215,,0.7,1.1,1.8,2.2
Damian Lillard,POR,22.2,75,75,2676,618,1474,.419,229,610,.375,389,864,.450,.497,414,464,.892,45,257,302,512,65,28,242,165,1879,.560,.414,.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,,7.7,1.4,9.2,.165,,5.9,-2.2,3.7,3.8
Kyle Lowry,TOR,22.1,77,77,2851,512,1198,.427,212,547,.388,300,651,.461,.516,398,491,.811,55,310,365,494,158,34,225,211,1634,.578,.457,.410,2.2,12.3,7.3,29.9,2.9,1.0,13.7,26.1,,8.0,3.7,11.6,.196,,6.2,0.6,6.8,6.3
Greg Monroe,MIL,21.8,79,67,2314,491,941,.522,0,1,.000,491,940,.522,.522,228,308,.740,218,478,696,178,72,67,129,163,1210,.562,.001,.327,10.9,23.4,17.2,13.2,1.6,2.5,10.7,23.5,,5.0,2.4,7.5,.155,,1.3,0.2,1.5,2.1
Brook Lopez,BRK,21.7,73,73,2457,591,1157,.511,2,14,.143,589,1143,.515,.512,317,403,.787,204,369,573,147,58,124,175,215,1501,.562,.012,.348,9.2,17.2,13.1,10.8,1.2,4.1,11.6,27.3,,4.5,1.7,6.2,.121,,1.1,0.2,1.3,2.1
Pau Gasol,CHI,21.7,72,72,2291,467,995,.469,24,69,.348,443,926,.478,.481,229,289,.792,155,638,793,294,42,146,164,148,1187,.529,.069,.290,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,,3.2,3.9,7.1,.149,,0.5,3.5,4.0,3.5
Derrick Favors,UTA,21.6,62,59,1983,418,811,.515,0,4,.000,418,807,.518,.515,180,254,.709,169,334,503,94,74,91,104,150,1016,.551,.005,.313,10.0,19.6,14.8,8.9,2.0,3.9,10.1,23.9,,3.8,3.4,7.1,.173,,0.4,2.3,2.7,2.3
